Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,CAT PREDICTION
11.47219949,3.832194177,2.252292415,10.14136926,114.4371321,2.291474415,2.168882372,2.535612375,1.433013127,6.931692665,1.372292338,2.137595873,745.9195123,
11.22517043,2.19536057,2.187767721,12.12097896,105.5469761,2.584466766,2.007356967,2.563136416,1.862051983,6.5983486,1.235304975,2.844303854,1027.805785,
12.19450621,1.613972842,2.541185207,10.37713762,111.9630482,2.328965792,2.32306427,2.32060914,1.094166929,6.504298292,2.558097947,2.580154658,692.6322548,
11.56143932,2.433522112,2.104557316,17.29864014,110.3291972,2.236003168,2.192473401,2.333027137,1.658634952,6.525431986,2.251869816,3.127504858,1197.802416,
11.32078688,2.628379864,2.084255716,18.26716228,107.5535213,2.036388373,2.018325424,2.960095317,1.761005146,6.307844442,1.035131769,3.311286028,1501.183282,
10.79001319,2.029486943,2.59951857,14.08830596,100.865407,2.787944184,2.738666286,2.357925636,1.297111617,6.04751857,2.727669615,2.951638637,1228.604373,
11.31418603,2.920993289,2.264395727,11.31309909,105.6717571,2.529318817,2.770852539,2.475293859,1.50477322,6.779922805,2.850079935,3.515368039,673.359541,
10.65857957,2.081043855,2.973052144,8.451978063,107.9055407,2.577381421,2.758753914,2.567833606,1.215686211,6.497476751,1.291514508,2.014400129,1304.383205,
13.44882675,1.17771334,2.283766238,13.7642407,107.2610222,2.163039952,2.816864969,2.412587471,1.305109897,6.905043277,1.88017905,3.392654183,717.4375711,
13.2953276,3.755815659,2.576186157,15.83142609,112.9428108,2.27918453,2.010721668,2.823346832,1.6519385,6.912907643,2.672683639,2.019621083,1366.067921,
